2605.02373	no_bib	2	yes	bib,bibcmd	conversion_error	Error:xpath:findnodes	-
2605.02461	no_html	3	yes	bbl,bibcmd	conversion_fatal	Error:undefined:\AFF	-
2605.02480	no_html	0	auto_ignore	stub	ok	-	-
2605.02488	empty_bib	2	yes	bib,bibcmd	conversion_error	Error:undefined:\affiliations	-
2605.02494	no_html	3	yes	bib,printbib	conversion_fatal	Fatal:Timeout:PushbackLimit	-
2605.02506	no_html	3	yes	bbl,bibcmd	conversion_fatal	Error:undefined:\usephysicsmodule	-
2605.02657	no_html	3	yes	bib,bibcmd	conversion_fatal	Fatal:Timeout:TokenLimit	-
2605.02664	no_bib	2	yes	thebib,bibitem	conversion_error	Error:document:open_element_internal	-
2605.02676	no_html	0	auto_ignore	stub	ok	-	-
2605.02720	no_bib	2	yes	bib,printbib	conversion_error	Error:undefined:\doctype	-
2605.02810	no_bib	0	no		ok	-	-
2605.02836	no_html	3	yes	bbl,bibcmd	conversion_fatal	Error:latex:(pgfplots)	-
2605.02850	no_bib	2	yes	bib,bibcmd	conversion_error	Error:unexpected:_	-
2605.02858	no_html	0	auto_ignore	stub	ok	-	-
2605.02893	no_html	0	auto_ignore	stub	ok	-	-
2605.02953	no_html	3	yes	bbl,bib,bibcmd	conversion_fatal	Fatal:Timeout:TokenLimit	-
2605.02974	no_bib	1	no		ok	-	-
2605.03031	no_bib	0	no		ok	-	-
2605.03078	no_bib	0	no		ok	-	-
2605.03102	no_html	3	yes	bbl,bib,bibcmd	conversion_fatal	Error:undefined:\pdf@system	-
2605.03113	no_html	3	yes	bib,bibcmd	conversion_fatal	Error:undefined:\overarrow@	-
2605.03129	empty_bib	3	yes	bib,thebib,bibcmd,bibitem	conversion_fatal	Error:unexpected:}	-
2605.03153	no_bib	1	no		ok	-	-
2605.03191	no_bib	2	yes	bib,bibcmd	conversion_error	Error:unexpected:}	-
2605.03224	no_html	3	yes	bbl,bib,bibcmd	conversion_fatal	Error:unexpected:\lx@end@inline@math	-
2605.03240	empty_bib	2	yes	bbl,bib,bibcmd	conversion_error	Error:unexpected:_	-
2605.03301	no_html	3	yes	bbl,bibcmd	conversion_fatal	Error:undefined:\csvreader	-
2605.03441	no_bib	2	yes	bib,printbib	conversion_error	Error:undefined:\volumeheader	-
2605.03462	no_html	0	auto_ignore	stub	ok	-	-
2605.03516	no_bib	1	yes	thebib,bibitem	ok	Fatal:Stomach:Recursion	-
2605.03562	no_html	0	auto_ignore	stub	ok	-	-
2605.03599	no_bib	2	yes	bib,bibcmd	conversion_error	Error:undefined:\setboolean	-
2605.03676	no_html	3	yes	bib,bibcmd	conversion_fatal	Error:undefined:\@@input	-
2605.03695	no_html	0	auto_ignore	stub	ok	-	-
2605.03718	no_bib	2	yes	bib,bibcmd,bibitem	conversion_error	Error:undefined:\nin	-
2605.03811	no_html	0	auto_ignore	stub	ok	-	-
2605.03921	no_html	3	yes	bib,printbib	conversion_fatal	Fatal:Timeout:PushbackLimit	-
2605.03954	no_bib	1	yes	bib,bibcmd	ok	-	-
