caption_sty.rs:97	caption	perl=DefKeyVal(L60)	rust=DefMacro
caption_sty.rs:47	captionsetup	perl=DefMacro(L62)	rust=DefPrimitive
colordvi_sty.rs:7	DefineNamedColor	perl=DefMacro(L20)	rust=DefPrimitive
dcolumn_sty.rs:49	lx@unactivate	perl=DefMacro(L30)	rust=DefPrimitive
deluxetable_sty.rs:29	set@deluxetable@template	perl=DefMacro(L40)	rust=DefPrimitive
diagbox_sty.rs:28	diagbox	perl=DefKeyVal(L18)	rust=DefMacro
diagbox_sty.rs:28	diagbox	perl=DefKeyVal(L19)	rust=DefMacro
diagbox_sty.rs:28	diagbox	perl=DefKeyVal(L20)	rust=DefMacro
diagbox_sty.rs:28	diagbox	perl=DefKeyVal(L21)	rust=DefMacro
diagbox_sty.rs:28	diagbox	perl=DefKeyVal(L22)	rust=DefMacro
diagbox_sty.rs:28	diagbox	perl=DefKeyVal(L23)	rust=DefMacro
diagbox_sty.rs:28	diagbox	perl=DefKeyVal(L24)	rust=DefMacro
diagbox_sty.rs:28	diagbox	perl=DefKeyVal(L25)	rust=DefMacro
diagbox_sty.rs:28	diagbox	perl=DefKeyVal(L26)	rust=DefMacro
diagbox_sty.rs:28	diagbox	perl=DefKeyVal(L27)	rust=DefMacro
diagbox_sty.rs:28	diagbox	perl=DefKeyVal(L28)	rust=DefMacro
diagbox_sty.rs:28	diagbox	perl=DefKeyVal(L29)	rust=DefMacro
diagbox_sty.rs:28	diagbox	perl=DefKeyVal(L30)	rust=DefMacro
diagbox_sty.rs:28	diagbox	perl=DefKeyVal(L31)	rust=DefMacro
elsart_support_sty.rs:183	note	perl=DefMacro(L172)	rust=DefConstructor
enumitem_sty.rs:521	restartlist	perl=DefMacro(L128)	rust=DefPrimitive
graphics_sty.rs:363	Gscale@div	perl=DefPrimitive(L329)	rust=DefMacro
llncs_cls.rs:65	toctitle	perl=DefRegister(L73)	rust=DefMacro
llncs_cls.rs:132	spnewtheorem	perl=DefMacro(L101)	rust=DefPrimitive
llncs_cls.rs:145	bbbc	perl=DefPrimitiveI(L196)	rust=DefConstructor
llncs_cls.rs:146	bbbf	perl=DefPrimitiveI(L197)	rust=DefConstructor
llncs_cls.rs:147	bbbh	perl=DefPrimitiveI(L198)	rust=DefConstructor
llncs_cls.rs:148	bbbk	perl=DefPrimitiveI(L199)	rust=DefConstructor
llncs_cls.rs:149	bbbm	perl=DefPrimitiveI(L200)	rust=DefConstructor
llncs_cls.rs:150	bbbn	perl=DefPrimitiveI(L201)	rust=DefConstructor
llncs_cls.rs:151	bbbone	perl=DefPrimitiveI(L202)	rust=DefConstructor
llncs_cls.rs:152	bbbp	perl=DefPrimitiveI(L203)	rust=DefConstructor
llncs_cls.rs:153	bbbq	perl=DefPrimitiveI(L204)	rust=DefConstructor
llncs_cls.rs:154	bbbr	perl=DefPrimitiveI(L205)	rust=DefConstructor
llncs_cls.rs:155	bbbs	perl=DefPrimitiveI(L206)	rust=DefConstructor
llncs_cls.rs:156	bbbt	perl=DefPrimitiveI(L207)	rust=DefConstructor
llncs_cls.rs:157	bbbz	perl=DefPrimitiveI(L208)	rust=DefConstructor
makecell_sty.rs:10	lx@makecell@head	perl=DefMacroI(L24)	rust=DefPrimitive
marvosym_sty.rs:10	fax	perl=DefMacro(L29)	rust=DefPrimitive
marvosym_sty.rs:327	StrikingThrough	perl=DefMacro(L302)	rust=DefPrimitive
mathabx_sty.rs:12	changenotsign	perl=DefPrimitive(L24)	rust=DefMacro
mathtools_sty.rs:101	adjustlimits	perl=DefConstructor(L180)	rust=DefMacro
mathtools_sty.rs:951	newgathered	perl=DefMacro(L817)	rust=DefPrimitive
mn2e_support_sty.rs:115	mn@boldsymbol	perl=DefConstructor(L66)	rust=DefMacro
mn2e_support_sty.rs:74	degr	perl=DefPrimitiveI(L118)	rust=DefMacro
mn2e_support_sty.rs:75	arcmin	perl=DefPrimitiveI(L119)	rust=DefMacro
mn2e_support_sty.rs:76	arcsec	perl=DefPrimitiveI(L120)	rust=DefMacro
mn2e_support_sty.rs:73	sun	perl=DefPrimitiveI(L127)	rust=DefMacro
mn2e_support_sty.rs:70	la	perl=DefMath(L131)	rust=DefMacro
mn2e_support_sty.rs:71	ga	perl=DefMath(L132)	rust=DefMacro
mn2e_support_sty.rs:72	getsto	perl=DefMath(L145)	rust=DefMacro
mn2e_support_sty.rs:65	bsp	perl=DefMacro(L186)	rust=DefConstructor
multirow_sty.rs:47	multirow	perl=DefPrimitive(L19)	rust=DefMacro
numprint_sty.rs:31	ltx@text@number	perl=DefConstructor(L48)	rust=DefMacro
pgfcircutils_tex.rs:8	pgf@circ@stripdecimals	perl=DefMacro(L24)	rust=DefPrimitive
pgfsys_latexml_def.rs:581	pgfsys@moveto	perl=DefConstructor(L242)	rust=DefPrimitive
pgfsys_latexml_def.rs:584	pgfsys@lineto	perl=DefConstructor(L247)	rust=DefPrimitive
# Summary (package): 445 pairs scanned, 232 kind mismatches, 8 missing rust files

pgfsys_latexml_def.rs:587	pgfsys@curveto	perl=DefConstructor(L253)	rust=DefPrimitive
pgfsys_latexml_def.rs:591	pgfsys@rect	perl=DefConstructor(L260)	rust=DefPrimitive
pgfsys_latexml_def.rs:599	pgfsys@closepath	perl=DefConstructor(L274)	rust=DefPrimitive
pgfsys_latexml_def.rs:629	pgfsys@clipnext	perl=DefConstructor(L307)	rust=DefPrimitive
pgfsys_latexml_def.rs:1062	lxSVG@color@rgb@stroke	perl=DefConstructor(L473)	rust=DefPrimitive
pgfsys_latexml_def.rs:1066	lxSVG@color@rgb@fill	perl=DefConstructor(L474)	rust=DefPrimitive
pgfsys_latexml_def.rs:1070	lxSVG@color@cmyk@stroke	perl=DefConstructor(L475)	rust=DefPrimitive
pgfsys_latexml_def.rs:1074	lxSVG@color@cmyk@fill	perl=DefConstructor(L476)	rust=DefPrimitive
pgfsys_latexml_def.rs:1078	lxSVG@color@cmy@stroke	perl=DefConstructor(L477)	rust=DefPrimitive
pgfsys_latexml_def.rs:1082	lxSVG@color@cmy@fill	perl=DefConstructor(L478)	rust=DefPrimitive
pgfsys_latexml_def.rs:1086	lxSVG@color@gray@stroke	perl=DefConstructor(L479)	rust=DefPrimitive
pgfsys_latexml_def.rs:1090	lxSVG@color@gray@fill	perl=DefConstructor(L480)	rust=DefPrimitive
pgfsys_latexml_def.rs:1315	lxSVG@beginscope	perl=DefConstructor(L571)	rust=DefPrimitive
pgfsys_latexml_def.rs:1319	lxSVG@endscope	perl=DefConstructor(L577)	rust=DefPrimitive
pgfsys_latexml_def.rs:1389	pgfsys@invoke	perl=DefConstructor(L827)	rust=DefMacro
physics_sty.rs:179	quantity	perl=DefMacro(L132)	rust=DefPrimitive
physics_sty.rs:214	lx@physics@fenced	perl=DefMacro(L146)	rust=DefPrimitive
physics_sty.rs:265	evaluated	perl=DefMacro(L170)	rust=DefPrimitive
physics_sty.rs:346	lx@physics@fencedII	perl=DefMacro(L205)	rust=DefPrimitive
physics_sty.rs:409	lx@physics@operator	perl=DefMacro(L250)	rust=DefPrimitive
physics_sty.rs:463	lx@physics@operatorP	perl=DefMacro(L277)	rust=DefPrimitive
physics_sty.rs:613	lx@physics@ReIm	perl=DefMacro(L333)	rust=DefPrimitive
physics_sty.rs:660	qqtext	perl=DefMacro(L356)	rust=DefPrimitive
physics_sty.rs:673	qcc	perl=DefMacro(L358)	rust=DefPrimitive
physics_sty.rs:712	lx@physics@diff	perl=DefMacro(L370)	rust=DefPrimitive
physics_sty.rs:794	lx@physics@deriv	perl=DefMacro(L401)	rust=DefPrimitive
physics_sty.rs:985	ket	perl=DefMacro(L481)	rust=DefPrimitive
physics_sty.rs:1007	bra	perl=DefMacro(L491)	rust=DefPrimitive
physics_sty.rs:1061	lx@physics@qm@product	perl=DefMacro(L513)	rust=DefPrimitive
physics_sty.rs:1102	expectationvalue	perl=DefMacro(L533)	rust=DefPrimitive
physics_sty.rs:1156	matrixelement	perl=DefMacro(L558)	rust=DefPrimitive
physics_sty.rs:1207	identitymatrix	perl=DefMacro(L590)	rust=DefPrimitive
physics_sty.rs:1221	xmatrix	perl=DefMacro(L600)	rust=DefPrimitive
physics_sty.rs:1239	paulimatrix	perl=DefMacro(L623)	rust=DefPrimitive
physics_sty.rs:1256	diagonalmatrix	perl=DefMacro(L636)	rust=DefPrimitive
physics_sty.rs:1278	antidiagonalmatrix	perl=DefMacro(L655)	rust=DefPrimitive
physics_sty.rs:1301	lx@physics@mat	perl=DefMacro(L677)	rust=DefPrimitive
psfrag_sty.rs:21	psfragscanon	perl=DefConstructor(L57)	rust=DefMacro
psfrag_sty.rs:22	psfragscanoff	perl=DefConstructor(L61)	rust=DefMacro
pspicture_sty.rs:5	Line	perl=DefConstructor(L18)	rust=DefMacro
pspicture_sty.rs:6	Vector	perl=DefConstructor(L22)	rust=DefMacro
pspicture_sty.rs:7	Curve	perl=DefConstructor(L26)	rust=DefMacro
pst_node_sty.rs:12	rnode	perl=DefConstructor(L168)	rust=DefMacro
pst_node_sty.rs:14	pnode	perl=DefConstructor(L186)	rust=DefMacro
pstricks_support_sty.rs:22	psset	perl=DefConstructor(L622)	rust=DefMacro
revsymb_sty.rs:14	biglb	perl=DefConstructor(L31)	rust=DefMacro
revsymb_sty.rs:15	bigrb	perl=DefConstructor(L34)	rust=DefMacro
revsymb_sty.rs:16	Biglb	perl=DefConstructor(L37)	rust=DefMacro
revsymb_sty.rs:17	Bigrb	perl=DefConstructor(L40)	rust=DefMacro
revsymb_sty.rs:18	bigglb	perl=DefConstructor(L43)	rust=DefMacro
revsymb_sty.rs:19	biggrb	perl=DefConstructor(L46)	rust=DefMacro
revsymb_sty.rs:20	Bigglb	perl=DefConstructor(L49)	rust=DefMacro
revsymb_sty.rs:21	Biggrb	perl=DefConstructor(L52)	rust=DefMacro
siunitx_sty.rs:1922	lx@six@unitobject	perl=DefMacro(L1212)	rust=DefPrimitive
siunitx_sty.rs:1923	lx@six@unitobject@arg	perl=DefMacro(L1218)	rust=DefPrimitive
subfig_sty.rs:21	newsubfloat	perl=DefPrimitive(L30)	rust=DefMacro
sv_support_sty.rs:164	spnewtheorem	perl=DefMacro(L129)	rust=DefPrimitive
svmult_cls.rs:62	bbbc	perl=DefPrimitiveI(L68)	rust=DefConstructor
svmult_cls.rs:63	bbbf	perl=DefPrimitiveI(L69)	rust=DefConstructor
svmult_cls.rs:64	bbbh	perl=DefPrimitiveI(L70)	rust=DefConstructor
svmult_cls.rs:65	bbbk	perl=DefPrimitiveI(L71)	rust=DefConstructor
svmult_cls.rs:66	bbbm	perl=DefPrimitiveI(L72)	rust=DefConstructor
svmult_cls.rs:67	bbbn	perl=DefPrimitiveI(L73)	rust=DefConstructor
svmult_cls.rs:68	bbbone	perl=DefPrimitiveI(L74)	rust=DefConstructor
svmult_cls.rs:69	bbbp	perl=DefPrimitiveI(L75)	rust=DefConstructor
svmult_cls.rs:70	bbbq	perl=DefPrimitiveI(L76)	rust=DefConstructor
svmult_cls.rs:71	bbbr	perl=DefPrimitiveI(L77)	rust=DefConstructor
svmult_cls.rs:72	bbbs	perl=DefPrimitiveI(L78)	rust=DefConstructor
svmult_cls.rs:73	bbbt	perl=DefPrimitiveI(L79)	rust=DefConstructor
svmult_cls.rs:74	bbbz	perl=DefPrimitiveI(L80)	rust=DefConstructor
texvc_sty.rs:42	darr	perl=DefMacroI(L122)	rust=DefMath
texvc_sty.rs:48	Darr	perl=DefMacroI(L124)	rust=DefMath
texvc_sty.rs:43	uarr	perl=DefMacroI(L127)	rust=DefMath
texvc_sty.rs:49	Uarr	perl=DefMacroI(L129)	rust=DefMath
texvc_sty.rs:24	H	perl=DefMacroI(L130)	rust=DefMath
texvc_sty.rs:19	N	perl=DefMacroI(L131)	rust=DefMath
texvc_sty.rs:22	Q	perl=DefMacroI(L132)	rust=DefMath
texvc_sty.rs:20	R	perl=DefMacroI(L133)	rust=DefMath
texvc_sty.rs:21	Z	perl=DefMacroI(L134)	rust=DefMath
texvc_sty.rs:41	ang	perl=DefMacroI(L137)	rust=DefMath
texvc_sty.rs:34	bull	perl=DefMacroI(L138)	rust=DefMath
texvc_sty.rs:31	cnums	perl=DefMacroI(L140)	rust=DefMath
texvc_sty.rs:32	Complex	perl=DefMacroI(L141)	rust=DefMath
texvc_sty.rs:47	harr	perl=DefMacroI(L150)	rust=DefMath
texvc_sty.rs:53	Harr	perl=DefMacroI(L151)	rust=DefMath
texvc_sty.rs:40	infin	perl=DefMacroI(L154)	rust=DefMath
texvc_sty.rs:45	larr	perl=DefMacroI(L156)	rust=DefMath
texvc_sty.rs:51	Larr	perl=DefMacroI(L157)	rust=DefMath
texvc_sty.rs:46	lrarr	perl=DefMacroI(L160)	rust=DefMath
texvc_sty.rs:52	Lrarr	perl=DefMacroI(L161)	rust=DefMath
texvc_sty.rs:27	natnums	perl=DefMacroI(L163)	rust=DefMath
texvc_sty.rs:35	plusmn	perl=DefMacroI(L166)	rust=DefMath
texvc_sty.rs:44	rarr	perl=DefMacroI(L167)	rust=DefMath
texvc_sty.rs:50	Rarr	perl=DefMacroI(L168)	rust=DefMath
texvc_sty.rs:28	reals	perl=DefMacroI(L171)	rust=DefMath
texvc_sty.rs:36	sdot	perl=DefMacroI(L173)	rust=DefMath
texvc_sty.rs:37	sub	perl=DefMacroI(L176)	rust=DefMath
texvc_sty.rs:39	sube	perl=DefMacroI(L177)	rust=DefMath
texvc_sty.rs:38	supe	perl=DefMacroI(L178)	rust=DefMath
texvc_sty.rs:86	varcoppa	perl=DefMacroI(L180)	rust=DefMath
titlesec_sty.rs:31	lx@titleformat@star	perl=DefMacro(L30)	rust=DefPrimitive
titlesec_sty.rs:50	lx@titleformat	perl=DefMacro(L42)	rust=DefPrimitive
transparent_sty.rs:7	transparent	perl=DefPrimitive(L18)	rust=DefMacro
wasysym_sty.rs:100	varhexstar	perl=DefMacroI(L108)	rust=DefPrimitive
xcolor_sty.rs:599	xglobal	perl=DefMacro(L388)	rust=DefPrimitive
xcolor_sty.rs:639	providecolor	perl=DefMacro(L418)	rust=DefPrimitive
xspace_sty.rs:9	xspace	perl=DefMacro(L29)	rust=DefPrimitive
